Document ID,Paragraph ID,Paragraph
1,1,"This Consumer Credit Card Agreement and Disclosure together with the Account Opening Disclosure and any other Account opening documents or any subsequent documents provided to You related to this Account (hereinafter collectively referred to as “Agreement”) govern the terms and conditions of this Account. “We,” “Us,” “Our” and “Ours” and “Credit Union” refers to 1st Advantage Federal Credit Union with which this Agreement is made. “You,” “Your,” and “Yours” refers to each applicant and co-applicant for the Account; any person responsible for paying the Account; and anyone You authorize to use, access or service the Account. ""Card"" means the Mastercard® credit card and any other access devices, duplicates, renewals, or substitutions, the Credit Union issues to You. ""Account"" means the line of credit established by this Agreement and includes Your Card."
1,2,SECURITY INTEREST You grant the Credit Union a security interest under the Uniform Commercial Code and under any common law rights the Credit Union may have in any goods You purchase.
1,3,"If You give the Credit Union a specific pledge of shares by signing a separate pledge of shares, Your pledged shares will secure Your Account. You may not withdraw amounts that have been specifically pledged to secure Your Account until the Credit Union agrees to release all or part of the pledged amount."
1,4,"You grant Us a security interest in all individual and joint share and/or deposit accounts You have with Us now and in the future to secure Your credit card Account. Shares and deposits in an IRA or any other account that would lose special tax treatment under state or federal law if given as security are not subject to the security interest You have given in Your shares and deposits. You may withdraw these other shares unless You are in default. When You are in default, You authorize Us to apply the balance in these accounts to any amounts due. For example, if You have an unpaid credit card balance, You agree We may use funds in Your account(s) to pay any or all of the unpaid balance. You acknowledge and agree that Your pledge does not apply during any periods when You are a covered borrower under the Military Lending Act. For clarity, You will not be deemed a covered borrower, and Your pledge will apply, if: (i) You established Your credit card Account when You were not a covered borrower; or (ii) You cease to be a covered borrower."
1,5,"Unless otherwise prohibited by federal and/or state law, collateral securing other loans You have with the Credit Union may also secure this loan, except that a dwelling will never be considered as security for this Account, notwithstanding anything to the contrary in any other Agreement."
1,6,"1. USING YOUR ACCOUNT — By using the Account or keeping the Card, You agree to the terms of this Agreement. You agree to use Your Account in accordance with this Agreement. Your Account must only be used for lawful transactions"
1,7,"2. CREDIT LIMIT — We may establish a credit limit as part of this Agreement, which You promise not to exceed. If You exceed the credit limit, You promise to repay immediately the amount which exceeds the credit limit, including amounts due to finance charges, fees or other charges. You may request a credit limit increase on Your Account only by a method acceptable to the Credit Union. We may increase or decrease Your credit limit, refuse to make an advance and/or terminate Your Account at any time for any reason permitted by law"
1,8,"3. REPAYMENT — You promise to repay all amounts You owe under this Agreement. Your promise to repay includes all transactions made to Your Account by You or anyone You authorize to use Your Account as well as all interest charges and fees. For each billing period, You must pay at least the Minimum Payment Due by the Payment Due Date. The Minimum Payment Due is 3.00% of Your total New Balance, or $25.00, whichever is greater, plus any amount past due and any amount by which You have exceeded Your applicable credit limit. If Your total New Balance is less than $25.00, then Your Minimum Payment Due is the amount of the total New Balance. You may pay more frequently, pay more than the Minimum Payment Due or pay the total New Balance in full. © CUNA Mutual Group 1991, 2006, 09, 10, 12, 14, 16 All Rights Reserved 04501990-MXC30-P-1-031519 (MXC303-E) If You make extra or larger payments, You are still required to make at least the Minimum Payment Due each month Your Account has a balance (other than a credit balance). The Credit Union may delay replenishing Your credit limit until the date the payment is posted or the Credit Union confirms the payment has cleared. Your payment of the required Minimum Payment Due may be applied to what You owe the Credit Union in any manner the Credit Union chooses, as permitted by applicable law. If You make a payment in excess of the required Minimum Payment Due, the Credit Union will allocate the excess amount first to the balance with the highest annual percentage rate (“APR”) and any remaining portion to the other balances in descending order based on applicable APR, unless otherwise prescribed by applicable law. We may accept checks marked ""payment in full"" or with words of similar effect without losing any of Our rights to collect the full balance of Your Account with Us."
1,9,"4. INTEREST AND FINANCE CHARGES — We will begin charging You interest on purchases on the date the transaction is posted to Your Account. We will begin charging You interest on cash advances and balance transfers on the date of the transaction or the first day of the billing cycle in which the transaction is posted to Your Account, whichever is later (transaction date). However, We will not charge You any interest on new purchases if Your Account had a zero or credit balance at the beginning of that billing cycle, or You paid the entire new balance on the previous cycle's billing statement by the Payment Due Date of that statement. To avoid an additional finance charge on the balance of purchases, You must pay the entire new balance on the billing statement by the Payment Due Date of that statement"
1,10,"How We Calculate Your Balance: Interest charges on Your Account are calculated separately for purchases, balance transfers and cash advances (“Transaction Type”). We figure the interest charge for each Transaction Type by applying the periodic rate to each corresponding “average daily balance.” To get the “average daily balance” for a Transaction Type We take the beginning balance for that Transaction Type each day, add any new transactions of that type, and subtract any unpaid interest or other finance charges and any applicable payments or credits. This gives Us the daily balance for each Transaction Type. Then, for each Transaction Type, We add up all the daily balances for the billing cycle and divide each total by the number of days in the billing cycle. This gives Us the “average daily balance” for each Transaction Type."
